date,high,low,open,close,volume,quoteVolume,weightedAverage
1403067600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403067900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403068200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403068500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403068800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403069100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403069400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403069700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403070000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403070300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403070600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403070900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403071200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403071500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403071800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403072100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403072400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403072700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403073000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403073300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403073600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403073900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403074200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403074500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403074800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403075100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403075400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403075700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403076000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403076300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403076600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403076900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403077200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403077500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403077800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403078100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403078400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403078700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403079000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403079300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403079600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403079900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403080200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403080500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403080800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403081100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403081400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403081700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403082000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403082300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403082600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403082900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403083200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403083500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403083800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403084100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403084400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403084700,2e-06,2e-06,2e-06,2e-06,0.0002,100.0,2e-06
1403085000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403085300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403085600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403085900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403086200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403086500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403086800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403087100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403087400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403087700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403088000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403088300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403088600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403088900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403089200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403089500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403089800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403090100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403090400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403090700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403091000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403091300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403091600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403091900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403092200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403092500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403092800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403093100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403093400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403093700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403094000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403094300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403094600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403094900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403095200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403095500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403095800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403096100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403096400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403096700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403097000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403097300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403097600,2e-06,2e-06,2e-06,2e-06,0.00010055,50.2782,2e-06
1403097900,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403098200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403098500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403098800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403099100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403099400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403099700,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403100000,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403100300,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403100600,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403100900,2e-06,2e-06,2e-06,2e-06,0.001,500.0,2e-06
1403101200,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403101500,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403101800,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403102100,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403102400,2e-06,2e-06,2e-06,2e-06,0.0,0.0,2e-06
1403102700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0468615,22315.0,2.1e-06
1403103000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403103300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403103600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403103900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403104200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403104500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403104800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403105100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403105400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403105700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403106000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403106300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403106600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403106900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403107200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403107500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403107800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403108100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403108400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403108700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403109000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403109300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403109600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403109900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403110200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403110500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403110800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403111100,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403111400,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403111700,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403112000,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403112300,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403112600,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403112900,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403113200,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403113500,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
1403113800,2.1e-06,2.1e-06,2.1e-06,2.1e-06,0.0,0.0,2.1e-06
